,Fiscal Year,Category,Type,Scope,Description,Emissions
135,2015,Product life cycle emissions,Carbon removals,,Product carbon offsets,0.0
130,2015,Corporate emissions,Carbon removals,,Corporate carbon offsets,0.0
113,2016,Corporate emissions,Carbon removals,,Corporate carbon offsets,0.0
118,2016,Product life cycle emissions,Carbon removals,,Product carbon offsets,0.0
96,2017,Corporate emissions,Carbon removals,,Corporate carbon offsets,0.0
101,2017,Product life cycle emissions,Carbon removals,,Product carbon offsets,0.0
84,2018,Product life cycle emissions,Carbon removals,,Product carbon offsets,0.0
79,2018,Corporate emissions,Carbon removals,,Corporate carbon offsets,0.0
67,2019,Product life cycle emissions,Carbon removals,,Product carbon offsets,0.0
62,2019,Corporate emissions,Carbon removals,,Corporate carbon offsets,0.0
45,2020,Corporate emissions,Carbon removals,,Corporate carbon offsets,-70000.0
50,2020,Product life cycle emissions,Carbon removals,,Product carbon offsets,0.0
28,2021,Corporate emissions,Carbon removals,,Corporate carbon offsets,-167000.0
33,2021,Product life cycle emissions,Carbon removals,,Product carbon offsets,-500000.0
11,2022,Corporate emissions,Carbon removals,,Corporate carbon offsets,-324100.0
16,2022,Product life cycle emissions,Carbon removals,,Product carbon offsets,0.0
